	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
accuse	0.04498314879245766	0.04720941263845149	0.039971221946381155	0.0	0.0	0.0	0.0	2.085494757690332E-4	0.0	3.0053073797356515E-4	0.0	0.039504007011255365	
accused	0.005833358509124091	0.0066723062546639395	0.009746598137387175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007729922190254987	
accuseds	0.0025926037818329293	0.0033361531273319697	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004637953314152993	
accuses	0.0025926037818329293	0.0023829665195228356	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.729922190254987E-4	
accusing	0.0016357508651802786	6.013937915726304E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.754075805248238E-4	
accustom	0.003240754727291162	0.0038127464312365366	0.0068226186961710235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00618393775220399	
acdc	0.0025926037818329293	0.0023829665195228356	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003091968876101995	
ace	0.006481509454582324	0.0023829665195228356	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003091968876101995	
aces	0.0	0.0	0.0	0.0	0.002898342847817493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
achapman	6.481509454582323E-4	4.765933039045671E-4	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.729922190254987E-4	
achieved	0.0	0.0023318705990726467	0.006358406759347557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
achievement	8.178754325901393E-4	6.013937915726304E-4	0.0	0.0	0.0030721947076129638	0.07320033276307439	0.0	0.0	0.0017094281480383206	0.0	0.0	4.877037902624119E-4	
achievements	0.0	0.0	0.0	0.0	0.015047068005650855	0.0	0.0	0.0	0.008837615320712543	0.0	0.0	0.0	
achieves	0.0012963018909164647	0.004289339735141104	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015459844380509974	
achilles	0.0	0.003006968957863152	0.00368965125658903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.754075805248238E-4	
acid	8.178754325901393E-4	0.001202787583145261	0.0012298837521963434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acids	0.004398079134145115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acknowledge	0.003240754727291162	0.0033361531273319697	0.0029239794412161528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006956929971229488	
acknowledges	0.0	0.0	0.0	0.0	0.008777456336629666	0.0	0.0	0.0	0.004418807660356272	0.0	0.0	0.0	
acl	0.0029320527560967435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aclupa	0.0025926037818329293	0.005719119646854806	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038649610951274936	
