only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo
0.002453626	0	0.001229884	0	0	0	0	0	0	0	0	0.001950815
0.005833359	0.002382967	0.005847959	0	0	0	0	0	0	0	0	0.002318977
0	0.003608363	0.002459768	0	0	0	0	0	0	0	0	9.75E-04
0.002861938	9.35E-04	0.003347284	0	0	0	0	4.87E-04	0	7.01E-04	0.002426869	0.002654695
0.001296302	0.001906373	9.75E-04	0	0	0	0	0	0	0	0	0.001545984
0.003099014	3.80E-04	0.002330078	0	2.04E-04	0	0	0	0.002159067	0	0	0
0	0	0	0	0.00710556	0	0	0	0.004418808	0	0	0
0	7.77E-04	0.001589602	0	0	0	0	0	0	0	0	0
8.18E-04	0	0.002459768	0	0	0	0	0	0	0	0	9.75E-04
0.003271502	0.003006969	0	0	0	0	0	0	0	0	0	9.75E-04
